month,mean,median,std,p10,p25,p50,p75,p90
0,52.79999999999217,52.8,7.830180948076304e-12,52.8,52.8,52.8,52.8,52.8
1,54.371699545156574,53.90566359771884,6.864854152006959,45.928148424340094,49.522683873185144,53.90566359771884,58.73585636230412,63.362245829149195
2,56.00677156150209,55.12153638603553,10.095659927370885,43.91568694389645,48.755086327299765,55.12153638603553,62.00958193901662,69.58155215173008
3,57.749882352634195,56.29824057737078,12.69392330687566,42.71131256479112,48.735597060842395,56.29824057737078,65.45517508818409,74.52489255316499
4,59.27541495327074,57.55349509402743,14.659471082825208,41.68527705276787,48.56871372648983,57.55349509402743,68.23150740391101,79.28628959727816
5,60.914511268527704,58.77670603451281,16.443991810336524,41.17653951254553,48.64334684139618,58.77670603451281,71.1931260101459,84.48653132394965
6,62.27447181415325,60.05940831557104,17.772046531455132,40.594907947188375,48.85451800169239,60.05940831557104,74.17575790653,88.53264443095567
7,63.66749419453209,61.51850423699634,18.90786249696287,40.25502980511813,49.002574149931846,61.51850423699634,77.08200404193008,92.91018736064527
8,64.84655346636808,62.966888426098315,19.788191458018332,39.81909231248266,49.33676228422439,62.966888426098315,79.71258077131276,95.69839434170632
9,65.80453506591351,64.0477947713728,20.439621447358807,39.294602525995124,49.83944795212048,64.0477947713728,81.96549777049363,97.68927346253138
10,66.78207099062718,65.40437934184922,21.051775917061253,39.16734433808266,49.960997638892096,65.40437934184922,83.99169660583635,100.0
11,67.57290383791802,66.84034222848571,21.371240472054012,39.112971167262195,50.610577092585494,66.84034222848571,85.75457526583807,100.0
12,68.39182658960604,67.918943977574,21.723986343365617,39.07750488757846,50.97787522677808,67.918943977574,87.23752731924895,100.0
13,68.9702224514448,69.140086888694,22.040951959042243,38.89844447243555,51.25852163923055,69.140086888694,88.9196700925557,100.0
14,69.46507629959342,70.08472250070419,22.290545138231202,38.95968186088025,51.33824201374174,70.08472250070419,89.57339746153977,100.0
15,70.12920708096992,71.1697429272206,22.425149167699445,39.070421171623146,52.072893693220976,71.1697429272206,90.76184659633367,100.0
16,70.58617698649861,71.81416776995732,22.49948387168254,39.10983796928538,52.60120426339277,71.81416776995732,91.38834693726326,100.0
17,70.97538225858115,72.35946221149445,22.545383884644302,38.99687623609675,53.221256648010375,72.35946221149445,91.67604161416259,100.0
18,71.41887432117119,73.61983880261516,22.53383530396349,39.252273462682105,53.989859470362575,73.61983880261516,92.05252741473338,100.0
19,71.95365251526309,74.70748773315438,22.656192972869125,39.46336653023383,54.23425572341608,74.70748773315438,92.82921333819974,100.0
20,72.36185633429017,75.38127964448371,22.73111880954586,39.17290653741103,54.74945887685754,75.38127964448371,93.534051626837,100.0
21,72.67229262687583,76.0313344703985,22.77683137674227,39.316855157521466,55.1038694849648,76.0313344703985,93.83652665699329,100.0
22,73.05721051447713,76.80860082908706,22.710793044889723,39.74262186609732,55.69071818692631,76.80860082908706,94.16345967004418,100.0
23,73.34838420283467,77.09653486456415,22.840675973097234,39.27682223482194,55.89892105976422,77.09653486456415,94.92042638198005,100.0
24,73.57132539720722,77.39212548817557,22.835611529592544,39.663790735783856,56.268507820462986,77.39212548817557,94.94873546294234,100.0
25,73.8839340119635,78.21144465362725,22.95461190526578,39.36299367948301,56.6509567951197,78.21144465362725,95.41855276519276,100.0
26,73.99146711902551,78.1663814362366,22.886652866679956,39.51361597256915,56.93613204787989,78.1663814362366,95.36048272213202,100.0
27,74.12913707363704,78.60844802912717,22.823122815760094,39.850776437410474,57.38956146727513,78.60844802912717,95.10209557446058,100.0
28,74.39499238785844,79.33600288306417,22.86026180944323,39.89511089017009,57.71695629355576,79.33600288306417,95.39016907413789,100.0
29,74.57542045738947,79.98026313600029,22.835429615604706,39.753203607654584,57.82566803528512,79.98026313600029,95.39132630168558,100.0
30,74.71170298533951,79.79802496650228,22.83396806311862,40.14910292223325,58.46971338968597,79.79802496650228,95.78225978876367,100.0
31,74.89190869113001,79.89792028450134,22.82399467690307,40.47495490777788,58.76521443058642,79.89792028450134,96.00176929169191,100.0
32,75.07062113260744,79.83852917618233,22.742721620587385,40.694245795242715,59.195240969099345,79.83852917618233,96.3971978894513,100.0
33,75.2247148759352,80.37348708485911,22.752460090223092,40.266111253778924,59.157313201491974,80.37348708485911,96.33918850174368,100.0
34,75.20109098488675,80.24284536891797,22.704814760119184,40.78257798087286,59.60657486161843,80.24284536891797,96.30593500667197,100.0
35,75.3469717700317,80.40242534445466,22.696396960235866,40.777116347510045,60.0803516687571,80.40242534445466,96.38316496013383,100.0
36,75.41262662066332,80.36934640266534,22.67267806486337,40.961812237033946,59.81006016763024,80.36934640266534,96.57593471125033,100.0
37,75.50575967384506,80.52646691650489,22.674967382024477,40.9476905220131,60.005308464241864,80.52646691650489,96.32565297797694,100.0
38,75.48057482086453,80.5326543830264,22.670654702569735,40.95111836529053,60.04395813952189,80.5326543830264,96.51614712575316,100.0
39,75.49617853961924,80.61317955141601,22.580802705106212,41.372358213374184,60.048658300009464,80.61317955141601,96.32632705014998,100.0
40,75.78195871006166,80.55886661437404,22.54691976255105,41.52856885360125,60.32666642504147,80.55886661437404,96.9691726926603,100.0
41,75.95545282828046,81.16323592589677,22.567178821698874,41.718515355435,60.66177877670415,81.16323592589677,97.08958082334121,100.0
42,76.03182076711724,81.27082900599305,22.550673936321772,41.78571521542371,60.765081702555264,81.27082900599305,97.22751837909695,100.0
43,76.10301535147697,81.40501133545467,22.486294919037274,42.133986404498856,61.21139597430018,81.40501133545467,96.9198527533855,100.0
44,76.09611767528622,81.43978194031882,22.44227830756015,41.95562530521568,61.238933302204366,81.43978194031882,96.68200051622566,100.0
45,76.18335430106232,81.4939006839262,22.458501735719697,41.92419975114107,61.210012367945055,81.4939006839262,97.12504473900418,100.0
46,76.2782312442185,81.56400120940131,22.483879375423747,41.69281644824738,61.176208047649745,81.56400120940131,97.32008652527625,100.0
47,76.36217302068425,81.76078019904057,22.46817385264415,41.983859547821055,61.49703526764007,81.76078019904057,97.43823722219587,100.0
48,76.28074395703162,81.48771853274197,22.42148289099886,42.145822158189844,61.66702468963648,81.48771853274197,97.04387718417087,100.0
49,76.4364734404609,81.86620848160078,22.329960159150783,42.679481992405634,61.74463979297573,81.86620848160078,97.0227105544408,100.0
