month,mean,median,std,p10,p25,p50,p75,p90
0,52.79999999999217,52.8,7.830180948076304e-12,52.8,52.8,52.8,52.8,52.8
1,54.73119366654931,54.23907460622371,7.584736905655123,45.44490532993796,49.43197982870674,54.23907460622371,59.40354822211418,64.81775950832734
2,56.79791113031616,55.534795958406974,11.225458171065393,43.53292195742611,48.93686689027365,55.534795958406974,63.64258397090313,71.60607071789876
3,58.61624700011683,56.93589146811788,14.06595636000085,41.8921432911265,48.34649546317745,56.93589146811788,67.11236670432953,77.7741636555864
4,60.508752843279716,58.37159197899853,16.312224550693298,40.96230269063211,48.42373213505816,58.37159197899853,70.72267984010533,84.02308410902226
5,62.29251291702717,60.18805992208726,18.002861024156566,40.2988208950446,48.74827018489002,60.18805992208726,73.90981723330778,89.46146143481349
6,63.96734880349954,61.82128083186668,19.207837235766767,39.87434904107456,49.22677113574861,61.82128083186668,77.69974660039144,93.80132495979788
7,65.26035911729115,63.372116058843844,20.064320681887235,39.54641489601029,49.67434289787111,63.372116058843844,80.51033525464217,97.20602837896553
8,66.41512383616502,65.1782772380852,20.864672969038217,39.153171567278186,49.76547219153233,65.1782772380852,83.24709177679634,99.29765663186521
9,67.32614202214496,66.15075920932173,21.36825707367438,39.012482418269265,50.27908689411556,66.15075920932173,85.43878993309178,100.0
10,68.23094317736474,67.44391194141355,21.849834747479186,38.56496232732312,51.0682489734171,67.44391194141355,87.43228019241423,100.0
11,69.11939843115162,69.02317363627512,22.11706928154874,38.772545571470424,51.46915886027165,69.02317363627512,88.99615999478006,100.0
12,69.93160551727576,70.62373879184301,22.384009723212923,38.79392057176995,52.057787575497755,70.62373879184301,90.59003482397267,100.0
13,70.55278153435252,72.09290604488274,22.54027251163267,38.669181319755154,52.505945162514415,72.09290604488274,91.4925447454849,100.0
14,71.21658971869512,73.20845043182518,22.801989800029997,38.698885023604205,52.55375799185863,73.20845043182518,92.82633204613879,100.0
15,71.75755520617567,73.89818239625494,22.883371146155472,38.79544913646046,53.49844609197778,73.89818239625494,93.78492656099655,100.0
16,72.20886007901078,74.97445877101492,22.847626614221888,39.071310901127,54.03063707643025,74.97445877101492,93.77808220476669,100.0
17,72.50735289430423,75.59342485831951,22.813379244746404,39.16578535122104,54.608351843258006,75.59342485831951,94.04178495251584,100.0
18,72.86822458066152,75.99968368316047,22.828202244686914,39.575277015055356,55.18295646965245,75.99968368316047,94.46527311010013,100.0
19,73.40693596873506,77.00392757717256,22.88551478330057,39.507282682586876,55.728732166774876,77.00392757717256,95.41548008907985,100.0
20,73.64655153905989,77.66578986459112,22.805770392938165,40.00574630904462,56.30671575151248,77.66578986459112,95.20878178636966,100.0
21,73.83596740304918,77.97195066204452,22.750418666816902,40.20381665987258,56.28721525443097,77.97195066204452,95.13640149016962,100.0
22,74.25150590104643,78.80129393174968,22.900213476800346,39.96102586810701,57.37148143444542,78.80129393174968,96.0110155242798,100.0
23,74.54030171154993,79.13051266001348,22.912354434805458,40.01728964309566,57.36690285106586,79.13051266001348,96.53139807362058,100.0
24,74.78756933181978,79.46051918640225,22.825191462998326,40.47941697234047,58.061950438678856,79.46051918640225,96.62867818114475,100.0
25,74.96447049148338,79.43846798001553,22.79229079854637,40.649290899171305,58.724132230652216,79.43846798001553,96.69138931240153,100.0
26,75.22676459519937,79.95234514531178,22.767103891785542,40.71313579226194,58.994495720528704,79.95234514531178,96.91719904006203,100.0
27,75.38500626170573,80.13124744903628,22.762046544981928,40.70309062077256,59.1480240183587,80.13124744903628,97.51623492273774,100.0
28,75.40185663885087,80.13163381894617,22.645085313046337,40.6119931163584,59.43307815496367,80.13163381894617,96.95760494016635,100.0
29,75.71797294037705,81.09459197780457,22.691140208641997,40.96169722974356,59.62836183489546,81.09459197780457,97.41298699175456,100.0
30,75.72220195950209,81.02405112285105,22.653474219153292,41.141712651196684,59.7822451686967,81.02405112285105,97.46862340335656,100.0
31,75.84577091839526,81.167332217226,22.55165926493273,41.411222527757914,60.37938894082481,81.167332217226,97.21141812211383,100.0
32,75.99716975140942,81.10620292506692,22.571305382353714,41.66813245762787,60.44719779450506,81.10620292506692,97.6080987061969,100.0
33,76.0687869139627,81.08480342912665,22.503286586905237,41.66090866931887,60.93189980576631,81.08480342912665,97.50327868706488,100.0
34,76.22810915651712,81.35889620174561,22.419358618534282,41.724584891046455,60.78366609281993,81.35889620174561,97.66668748777336,100.0
35,76.54206957963,81.58970844402813,22.34277576651282,42.32219416382433,61.51050030027535,81.58970844402813,97.67710641305592,100.0
36,76.6373427853454,81.79660101633087,22.35250162484403,42.63872560958953,61.70442820229292,81.79660101633087,98.29264407104881,100.0
37,76.67268359593787,81.96591170127118,22.30819722342755,43.08369588522871,61.57349420046302,81.96591170127118,98.1541502132092,100.0
38,76.88285476798782,82.36533268829186,22.237749294968182,43.23203719745926,61.821485674924084,82.36533268829186,98.12019824174655,100.0
