date,benchmark_MMLU-Pro,arxiv_cs_AI,arxiv_cs_LG,arxiv_total,nvda_price,nvda_volume,nvda_return,epochai_training_compute,year,month,quarter,months_elapsed,in_event_window,event_id,event_name,event_type,event_period,months_from_event,event_severity,benchmark_composite,research_velocity,investment_sentiment,benchmark_composite_growth,research_velocity_growth
2020-01-01,,,,,,,,4.6452000000000005e+23,2020,1,1,833.9684625492772,0,,,,,,,,0.0,,,
2020-02-01,,,,,,,,3.6249361786e+22,2020,2,1,834.9868593955322,0,,,,,,,,0.0,,,
2020-03-01,,,,,,,,8.218938876307e+21,2020,3,1,835.939553219448,0,,,,,,,,0.0,,,
2020-04-01,,,,,,,,1.30056421940023e+21,2020,4,2,836.957950065703,0,,,,,,,,0.0,,,
2020-05-01,,,,,,,,1.268836041204596e+24,2020,5,2,837.9434954007884,0,,,,,,,,0.0,,,
2020-06-01,,,,,,,,2.7564758e+23,2020,6,2,838.9618922470434,0,,,,,,,,0.0,,,
2020-07-01,,,,,,,,3e+20,2020,7,3,839.9474375821287,0,,,,,,,,0.0,,,
2020-08-01,,,,,,,,1.686055646e+22,2020,8,3,840.9658344283837,0,,,,,,,,0.0,,,
2020-09-01,,,,,,,,1.944e+19,2020,9,3,841.9842312746385,0,,,,,,,,0.0,,,
2020-10-01,,,,,,,,3.188789411966e+23,2020,10,4,842.969776609724,0,,,,,,,,0.0,,,
2020-11-01,,,,,,,,9.3025104e+21,2020,11,4,843.988173455979,0,,,,,,,,0.0,,,
2020-12-01,,,,,,,,1.3304520136e+22,2020,12,4,844.9737187910644,0,,,,,,,,0.0,,,
2021-01-01,,,,,,,,3.63303085604741e+23,2021,1,1,845.9921156373193,0,,,,,,,,0.0,,,
2021-02-01,,,,,,,,1.1100896838399998e+22,2021,2,1,847.0105124835742,0,,,,,,,,0.0,,,
2021-03-01,,,,,,,,1.801331491365628e+23,2021,3,1,847.9303547963206,0,,,,,,,,0.0,,,
2021-04-01,,,,,,,,1.233574797734e+23,2021,4,2,848.9487516425755,0,,,,,,,,0.0,,,
2021-05-01,,,,,,,,5.10760453908603e+24,2021,5,2,849.9342969776609,0,,,,,,,,0.0,,,
2021-06-01,,,,,,,,3.597172989513937e+23,2021,6,2,850.9526938239159,0,,,,,,,,0.0,,,
2021-07-01,,,,,,,,2.87200734832e+23,2021,7,3,851.9382391590012,0,,,,,,,,0.0,,,
2021-08-01,,,,,,,,1.56970708872e+24,2021,8,3,852.9566360052562,1,4141,National AI Initiative Office Launches AI Researchers Portal,international_agreement,pre,-5.0,5.0,,0.0,,,
2021-09-01,,,,,,,,7.32782128204e+24,2021,9,3,853.9750328515112,1,4141,National AI Initiative Office Launches AI Researchers Portal,international_agreement,pre,-4.0,5.0,,0.0,,,
2021-10-01,,,,,,,,4.872881202966041e+24,2021,10,4,854.9605781865965,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-5.0,5.0,,0.0,,,
2021-11-01,,,,,,,,2.0016113895e+23,2021,11,4,855.9789750328515,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-4.0,5.0,,0.0,,,
2021-12-01,,,,,,,,1.3093042615349437e+25,2021,12,4,856.9645203679369,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-3.0,5.0,,0.0,,,
2022-01-01,,907.0,1886.0,2793.0,244.86,1067591645.0,,6.604685429488e+23,2022,1,1,857.9829172141918,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-2.0,5.0,,2793.0,,,inf
2022-02-01,,1105.0,2501.0,3606.0,243.85,1064192509.0,-0.0041248060115985,2.871975495680003e+24,2022,2,1,859.0013140604467,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-1.0,5.0,,3606.0,-4.1248060115985e-05,,29.108485499462944
2022-03-01,,1268.0,2482.0,3750.0,272.86,1163311421.0,0.1189665778142301,1.7967304480304002e+24,2022,3,1,859.9211563731932,1,4236,The U.S.-China Trade Relationship,international_agreement,pre,-0.0,5.0,,3750.0,0.001189665778142301,,3.993344425956735
2022-04-01,,1094.0,1976.0,3070.0,185.47,1109910745.0,-0.3202741332551492,1.1682137968000002e+25,2022,4,2,860.939553219448,1,4237,AI & Tech Summit 2025,international_agreement,pre,-6.0,5.0,,3070.0,-0.003202741332551492,,-18.133333333333333
2022-05-01,,1432.0,2721.0,4153.0,186.72,1383046898.0,0.0067396344422279,2.41088443244e+24,2022,5,2,861.9250985545335,1,4237,AI & Tech Summit 2025,international_agreement,pre,-5.0,5.0,,4153.0,6.7396344422279e-05,,35.27687296416937
2022-06-01,,1362.0,2903.0,4265.0,151.59,1055676405.0,-0.1881426735218508,1.4627339747900212e+25,2022,6,2,862.9434954007884,1,4237,AI & Tech Summit 2025,international_agreement,pre,-4.0,5.0,,4265.0,-0.0018814267352185079,,2.696845653744284
